[INFO ] 19-04-2020 11:58:41.937 PM [http-nio-8080-exec-1]  c.t.l.controller.LibraryControllerimpl - Performing get book by id : 2
2020-04-21 13:09:48.176 [traceId=81d6d72d9bc3aef9, spanId=81d6d72d9bc3aef9, spanExportable=true, X-Span-Export=true, X-B3-SpanId=81d6d72d9bc3aef9, X-B3-TraceId=81d6d72d9bc3aef9]  INFO Shreejaa-PC --- [nio-8080-exec-2] service.controller.LibraryControllerimpl : Performing get all books operation
2020-04-21 13:24:19.824 [traceId=9969713fb3e5c92b, spanId=9969713fb3e5c92b, spanExportable=true, X-Span-Export=true, X-B3-SpanId=9969713fb3e5c92b, X-B3-TraceId=9969713fb3e5c92b]  INFO Shreejaa-PC --- [nio-8080-exec-1] service.controller.LibraryControllerimpl : Performing get all books operation
2020-04-21 13:24:39.468 [traceId=29f3d2066cd1a396, spanId=29f3d2066cd1a396, spanExportable=true, X-Span-Export=true, X-B3-SpanId=29f3d2066cd1a396, X-B3-TraceId=29f3d2066cd1a396]  INFO Shreejaa-PC --- [nio-8080-exec-4] service.controller.LibraryControllerimpl : Performing get book by id : 1
2020-04-21 13:24:50.346 [traceId=46d79426635da6b4, spanId=46d79426635da6b4, spanExportable=true, X-Span-Export=true, X-B3-SpanId=46d79426635da6b4, X-B3-TraceId=46d79426635da6b4]  INFO Shreejaa-PC --- [nio-8080-exec-7] service.controller.LibraryControllerimpl : Performing get all users {}
2020-04-21 13:24:58.173 [traceId=8eab44c6887a8f28, spanId=8eab44c6887a8f28, spanExportable=true, X-Span-Export=true, X-B3-SpanId=8eab44c6887a8f28, X-B3-TraceId=8eab44c6887a8f28]  INFO Shreejaa-PC --- [io-8080-exec-10] service.controller.LibraryControllerimpl : Performing get user by id 1
2020-04-21 13:25:04.707 [traceId=18b4797b0f85a7d6, spanId=18b4797b0f85a7d6, spanExportable=true, X-Span-Export=true, X-B3-SpanId=18b4797b0f85a7d6, X-B3-TraceId=18b4797b0f85a7d6]  INFO Shreejaa-PC --- [nio-8080-exec-3] service.controller.LibraryControllerimpl : Performing get user by id 2
2020-05-12 18:42:57.832 [traceId=8d47111bea6bf03c, spanId=8d47111bea6bf03c, spanExportable=true, X-Span-Export=true, X-B3-SpanId=8d47111bea6bf03c, X-B3-TraceId=8d47111bea6bf03c]  INFO Shreejaa-PC --- [nio-8088-exec-9] service.controller.LibraryControllerimpl : Performing create user User{userId=null, firstName='null', lastName='null', userName='null', userEmail='null', phoneNo='null', password='null'}
2020-05-12 18:50:07.215 [traceId=d5bbb58e87244b31, spanId=d5bbb58e87244b31, spanExportable=true, X-Span-Export=true, X-B3-SpanId=d5bbb58e87244b31, X-B3-TraceId=d5bbb58e87244b31]  INFO Shreejaa-PC --- [nio-8088-exec-5] service.controller.LibraryControllerimpl : Performing get all users {}
2020-05-12 18:50:34.242 [traceId=8df537aea3596f26, spanId=8df537aea3596f26, spanExportable=true, X-Span-Export=true, X-B3-SpanId=8df537aea3596f26, X-B3-TraceId=8df537aea3596f26]  INFO Shreejaa-PC --- [nio-8088-exec-4] service.controller.LibraryControllerimpl : Performing get all users {}
2020-05-12 18:51:50.733 [traceId=c913de820ac224ab, spanId=c913de820ac224ab, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c913de820ac224ab, X-B3-TraceId=c913de820ac224ab]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Performing create user User{userId=null, firstName='null', lastName='null', userName='null', userEmail='null', phoneNo='null', password='null'}
2020-05-12 18:51:57.941 [traceId=82482f8a1c8437f0, spanId=82482f8a1c8437f0, spanExportable=true, X-Span-Export=true, X-B3-SpanId=82482f8a1c8437f0, X-B3-TraceId=82482f8a1c8437f0]  INFO Shreejaa-PC --- [nio-8088-exec-7] service.controller.LibraryControllerimpl : Performing create user User{userId=null, firstName='null', lastName='null', userName='null', userEmail='null', phoneNo='null', password='null'}
2020-05-12 18:52:03.511 [traceId=2380235e0c019dc4, spanId=2380235e0c019dc4, spanExportable=true, X-Span-Export=true, X-B3-SpanId=2380235e0c019dc4, X-B3-TraceId=2380235e0c019dc4]  INFO Shreejaa-PC --- [nio-8088-exec-9] service.controller.LibraryControllerimpl : Performing create user User{userId=null, firstName='null', lastName='null', userName='null', userEmail='null', phoneNo='null', password='null'}
2020-05-15 16:05:10.739 [traceId=7941285ee3513ad0, spanId=7941285ee3513ad0, spanExportable=true, X-Span-Export=true, X-B3-SpanId=7941285ee3513ad0, X-B3-TraceId=7941285ee3513ad0]  INFO Shreejaa-PC --- [nio-8088-exec-5] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :1)
2020-05-15 17:17:47.522 [traceId=0a9d7af58c4408d0, spanId=0a9d7af58c4408d0, spanExportable=true, X-Span-Export=true, X-B3-SpanId=0a9d7af58c4408d0, X-B3-TraceId=0a9d7af58c4408d0]  INFO Shreejaa-PC --- [nio-8088-exec-6] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :1)
2020-05-17 10:08:01.619 [traceId=54dfbf056d23899c, spanId=54dfbf056d23899c, spanExportable=true, X-Span-Export=true, X-B3-SpanId=54dfbf056d23899c, X-B3-TraceId=54dfbf056d23899c]  INFO Shreejaa-PC --- [nio-8088-exec-1] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :1)
2020-05-17 12:11:56.414 [traceId=1e2d817cdc3b1318, spanId=1e2d817cdc3b1318, spanExportable=true, X-Span-Export=true, X-B3-SpanId=1e2d817cdc3b1318, X-B3-TraceId=1e2d817cdc3b1318]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Performing get all users {}
